d_x;d_y;d_z;phi;theta;psi;icp_fitness_score
0.4;0;0.2;1.5708;0;1.5708;9.28557
0.4;0;0.2;1.5708;0;1.5708;0.707751
0.4;0;0.2;1.5708;0;1.5708;2.5475
0.4;0;0.2;1.5708;0;1.5708;2.95696
0.4;0;0.2;1.5708;0;1.5708;2.35834
0.4;0;0.2;1.5708;0;1.5708;10.1787
0.4;0;0.2;1.5708;0;1.5708;9.286
0.4;0;0.2;1.5708;0;1.5708;0.709104
0.4;0;0.2;1.5708;0;1.5708;2.54791
0.4;0;0.2;1.5708;0;1.5708;2.95696
0.4;0;0.2;1.5708;0;1.5708;2.36594
0.4;0;0.2;1.5708;0;1.5708;10.1987
0.4;6.66134e-015;0.2;1.5708;0;1.5708;9.28557
0.4;6.66134e-015;0.2;1.5708;0;1.5708;0.707751
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.5475
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.95696
0.4;6.66134e-015;0.2;1.5708;0;1.5708;2.35834
0.4;6.66134e-015;0.2;1.5708;0;1.5708;10.1787
0.4;0;0.2;1.5708;0;1.5708;9.28557
0.4;0;0.2;1.5708;0;1.5708;0.707751
0.4;0;0.2;1.5708;0;1.5708;2.5475
0.4;0;0.2;1.5708;0;1.5708;2.95696
0.4;0;0.2;1.5708;0;1.5708;2.35834
0.4;0;0.2;1.5708;0;1.5708;10.1787
0.4;0;0.2;1.5708;0;1.5708;9.11161
0.4;0;0.2;1.5708;0;1.5708;0.713357
0.4;0;0.2;1.5708;0;1.5708;2.5187
0.4;0;0.2;1.5708;0;1.5708;2.95363
0.4;0;0.2;1.5708;0;1.5708;2.34214
0.4;0;0.2;1.5708;0;1.5708;8.8378
0.4;0;0.2;1.5708;6.66134e-015;1.5708;9.28557
0.4;0;0.2;1.5708;6.66134e-015;1.5708;0.707751
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.5475
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.95696
0.4;0;0.2;1.5708;6.66134e-015;1.5708;2.35834
0.4;0;0.2;1.5708;6.66134e-015;1.5708;10.1787
0.4;0;0.2;1.5708;0;1.5708;8.71685
0.4;0;0.2;1.5708;0;1.5708;0.701776
0.4;0;0.2;1.5708;0;1.5708;2.5552
0.4;0;0.2;1.5708;0;1.5708;2.9052
0.4;0;0.2;1.5708;0;1.5708;2.35683
0.4;0;0.2;1.5708;0;1.5708;9.93376
0.39999;0;0.2;1.5708;0;1.5708;7.82797
0.39999;0;0.2;1.5708;0;1.5708;0.742815
0.39999;0;0.2;1.5708;0;1.5708;2.53549
0.39999;0;0.2;1.5708;0;1.5708;3.01803
0.39999;0;0.2;1.5708;0;1.5708;2.42836
0.39999;0;0.2;1.5708;0;1.5708;11.2204
0.39999;0;0.2;1.5708;0;1.5708;7.8291
0.39999;0;0.2;1.5708;0;1.5708;0.729855
0.39999;0;0.2;1.5708;0;1.5708;2.53038
0.39999;0;0.2;1.5708;0;1.5708;3.01383
0.39999;0;0.2;1.5708;0;1.5708;2.40486
0.39999;0;0.2;1.5708;0;1.5708;11.1858
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;7.82797
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;0.742815
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;2.53549
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;3.01803
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;2.42836
0.39999;6.66134e-015;0.2;1.5708;0;1.5708;11.2204
0.39999;0;0.2;1.5708;0;1.5708;7.82797
0.39999;0;0.2;1.5708;0;1.5708;0.742815
0.39999;0;0.2;1.5708;0;1.5708;2.53549
0.39999;0;0.2;1.5708;0;1.5708;3.01803
0.39999;0;0.2;1.5708;0;1.5708;2.42836
0.39999;0;0.2;1.5708;0;1.5708;11.2204
0.39999;0;0.2;1.5708;0;1.5708;7.27319
0.39999;0;0.2;1.5708;0;1.5708;0.735281
0.39999;0;0.2;1.5708;0;1.5708;2.58423
0.39999;0;0.2;1.5708;0;1.5708;2.94298
0.39999;0;0.2;1.5708;0;1.5708;2.46892
0.39999;0;0.2;1.5708;0;1.5708;11.2003
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;7.82797
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;0.742815
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;2.53549
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;3.01803
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;2.42836
0.39999;0;0.2;1.5708;6.66134e-015;1.5708;11.2204
0.39999;0;0.2;1.5708;0;1.5708;7.25812
0.39999;0;0.2;1.5708;0;1.5708;0.747271
0.39999;0;0.2;1.5708;0;1.5708;2.52869
0.39999;0;0.2;1.5708;0;1.5708;2.92879
0.39999;0;0.2;1.5708;0;1.5708;2.49505
0.39999;0;0.2;1.5708;0;1.5708;11.2042
0.399993;0;0.2;1.5708;0;1.5708;8.26928
0.399993;0;0.2;1.5708;0;1.5708;0.720936
0.399993;0;0.2;1.5708;0;1.5708;2.52479
0.399993;0;0.2;1.5708;0;1.5708;2.95667
0.399993;0;0.2;1.5708;0;1.5708;2.46027
0.399993;0;0.2;1.5708;0;1.5708;10.2451
0.399993;0;0.2;1.5708;0;1.5708;8.18316
0.399993;0;0.2;1.5708;0;1.5708;0.731248
0.399993;0;0.2;1.5708;0;1.5708;2.51016
0.399993;0;0.2;1.5708;0;1.5708;2.96998
0.399993;0;0.2;1.5708;0;1.5708;2.50371
0.399993;0;0.2;1.5708;0;1.5708;10.2566
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;8.26928
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;0.720936
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;2.52479
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;2.95667
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;2.46027
0.399993;6.66134e-015;0.2;1.5708;0;1.5708;10.2451
0.399993;0;0.2;1.5708;0;1.5708;8.26928
0.399993;0;0.2;1.5708;0;1.5708;0.720936
0.399993;0;0.2;1.5708;0;1.5708;2.5099
0.399993;0;0.2;1.5708;0;1.5708;2.95667
0.399993;0;0.2;1.5708;0;1.5708;2.46027
0.399993;0;0.2;1.5708;0;1.5708;10.2451
0.399993;0;0.2;1.5708;0;1.5708;8.11679
0.399993;0;0.2;1.5708;0;1.5708;0.718287
0.399993;0;0.2;1.5708;0;1.5708;2.56771
0.399993;0;0.2;1.5708;0;1.5708;2.92399
0.399993;0;0.2;1.5708;0;1.5708;2.5276
0.399993;0;0.2;1.5708;0;1.5708;11.0008
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;8.26928
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;0.720936
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;2.52479
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;2.95667
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;2.46027
0.399993;0;0.2;1.5708;6.66134e-015;1.5708;10.2451
0.399993;0;0.2;1.5708;0;1.5708;7.53611
0.399993;0;0.2;1.5708;0;1.5708;0.738813
0.399993;0;0.2;1.5708;0;1.5708;2.50586
0.399993;0;0.2;1.5708;0;1.5708;2.97747
0.399993;0;0.2;1.5708;0;1.5708;2.35798
0.399993;0;0.2;1.5708;0;1.5708;10.5947
0.399994;0;0.200001;1.5708;0;1.5708;7.76613
0.399994;0;0.200001;1.5708;0;1.5708;0.738383
0.399994;0;0.200001;1.5708;0;1.5708;2.58468
0.399994;0;0.200001;1.5708;0;1.5708;2.8899
0.399994;0;0.200001;1.5708;0;1.5708;2.36407
0.399994;0;0.200001;1.5708;0;1.5708;10.572
0.399994;0;0.200001;1.5708;0;1.5708;7.76689
0.399994;0;0.200001;1.5708;0;1.5708;0.766331
0.399994;0;0.200001;1.5708;0;1.5708;2.55924
0.399994;0;0.200001;1.5708;0;1.5708;2.87046
0.399994;0;0.200001;1.5708;0;1.5708;2.3671
0.399994;0;0.200001;1.5708;0;1.5708;10.7546
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;7.76613
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;0.738383
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.58468
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.8899
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.36407
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;10.572
0.399994;0;0.200001;1.5708;0;1.5708;7.76752
0.399994;0;0.200001;1.5708;0;1.5708;0.737257
0.399994;0;0.200001;1.5708;0;1.5708;2.58468
0.399994;0;0.200001;1.5708;0;1.5708;2.89713
0.399994;0;0.200001;1.5708;0;1.5708;2.36298
0.399994;0;0.200001;1.5708;0;1.5708;10.572
0.399994;0;0.200001;1.5708;0;1.5708;10.2006
0.399994;0;0.200001;1.5708;0;1.5708;0.730795
0.399994;0;0.200001;1.5708;0;1.5708;2.53127
0.399994;0;0.200001;1.5708;0;1.5708;2.9057
0.399994;0;0.200001;1.5708;0;1.5708;2.40421
0.399994;0;0.200001;1.5708;0;1.5708;11.0269
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;7.76613
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;0.738383
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.58468
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.8899
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.36407
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;10.572
0.399994;0;0.200001;1.5708;0;1.5708;10.0382
0.399994;0;0.200001;1.5708;0;1.5708;0.769274
0.399994;0;0.200001;1.5708;0;1.5708;2.58317
0.399994;0;0.200001;1.5708;0;1.5708;2.87071
0.399994;0;0.200001;1.5708;0;1.5708;2.40107
0.399994;0;0.200001;1.5708;0;1.5708;10.5732
0.399994;0;0.200001;1.5708;0;1.5708;10.2292
0.399994;0;0.200001;1.5708;0;1.5708;0.742891
0.399994;0;0.200001;1.5708;0;1.5708;2.54565
0.399994;0;0.200001;1.5708;0;1.5708;2.90148
0.399994;0;0.200001;1.5708;0;1.5708;2.39708
0.399994;0;0.200001;1.5708;0;1.5708;11.0056
0.399994;0;0.200001;1.5708;0;1.5708;7.87705
0.399994;0;0.200001;1.5708;0;1.5708;0.731285
0.399994;0;0.200001;1.5708;0;1.5708;2.57371
0.399994;0;0.200001;1.5708;0;1.5708;2.46815
0.399994;0;0.200001;1.5708;0;1.5708;2.36496
0.399994;0;0.200001;1.5708;0;1.5708;11.0199
0.399994;0;0.200001;1.5708;0;1.5708;10.4669
0.399994;0;0.200001;1.5708;0;1.5708;0.782508
0.399994;0;0.200001;1.5708;0;1.5708;2.50788
0.399994;0;0.200001;1.5708;0;1.5708;2.4379
0.399994;0;0.200001;1.5708;0;1.5708;2.35892
0.399994;0;0.200001;1.5708;0;1.5708;10.5654
0.399994;0;0.200001;1.5708;0;1.5708;10.2986
0.399994;0;0.200001;1.5708;0;1.5708;0.73077
0.399994;0;0.200001;1.5708;0;1.5708;2.57563
0.399994;0;0.200001;1.5708;0;1.5708;2.90492
0.399994;0;0.200001;1.5708;0;1.5708;2.3743
0.399994;0;0.200001;1.5708;0;1.5708;10.7277
0.399994;0;0.200001;1.5708;0;1.5708;7.75967
0.399994;0;0.200001;1.5708;0;1.5708;0.739951
0.399994;0;0.200001;1.5708;0;1.5708;2.50577
0.399994;0;0.200001;1.5708;0;1.5708;2.8976
0.399994;0;0.200001;1.5708;0;1.5708;2.36684
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;7.76928
0.399994;0;0.200001;1.5708;0;1.5708;0.766175
0.399994;0;0.200001;1.5708;0;1.5708;2.55601
0.399994;0;0.200001;1.5708;0;1.5708;2.87339
0.399994;0;0.200001;1.5708;0;1.5708;2.36503
0.399994;0;0.200001;1.5708;0;1.5708;10.7648
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;7.75967
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;0.739951
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.50577
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.8976
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;2.36684
0.399994;6.66134e-015;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;7.76324
0.399994;0;0.200001;1.5708;0;1.5708;0.739615
0.399994;0;0.200001;1.5708;0;1.5708;2.50577
0.399994;0;0.200001;1.5708;0;1.5708;2.7478
0.399994;0;0.200001;1.5708;0;1.5708;2.36634
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;10.2117
0.399994;0;0.200001;1.5708;0;1.5708;0.76404
0.399994;0;0.200001;1.5708;0;1.5708;2.53144
0.399994;0;0.200001;1.5708;0;1.5708;2.906
0.399994;0;0.200001;1.5708;0;1.5708;2.39504
0.399994;0;0.200001;1.5708;0;1.5708;11.0151
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;7.75967
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;0.739951
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.50577
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.8976
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;2.36684
0.399994;0;0.200001;1.5708;6.66134e-015;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;10.0472
0.399994;0;0.200001;1.5708;0;1.5708;0.768101
0.399994;0;0.200001;1.5708;0;1.5708;2.58335
0.399994;0;0.200001;1.5708;0;1.5708;2.87003
0.399994;0;0.200001;1.5708;0;1.5708;2.40143
0.399994;0;0.200001;1.5708;0;1.5708;10.566
0.399994;0;0.200001;1.5708;0;1.5708;7.74904
0.399994;0;0.200001;1.5708;0;1.5708;0.745888
0.399994;0;0.200001;1.5708;0;1.5708;2.5799
0.399994;0;0.200001;1.5708;0;1.5708;2.90195
0.399994;0;0.200001;1.5708;0;1.5708;2.36704
0.399994;0;0.200001;1.5708;0;1.5708;10.5732
0.399994;0;0.200001;1.5708;0;1.5708;7.76323
0.399994;0;0.200001;1.5708;0;1.5708;0.739294
0.399994;0;0.200001;1.5708;0;1.5708;2.50946
0.399994;0;0.200001;1.5708;0;1.5708;2.89733
0.399994;0;0.200001;1.5708;0;1.5708;2.36743
0.399994;0;0.200001;1.5708;0;1.5708;10.569
0.399994;0;0.200001;1.5708;0;1.5708;7.75967
0.399994;0;0.200001;1.5708;0;1.5708;0.739728
0.399994;0;0.200001;1.5708;0;1.5708;2.5168
0.399994;0;0.200001;1.5708;0;1.5708;2.89732
0.399994;0;0.200001;1.5708;0;1.5708;2.36683
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;7.75967
0.399994;0;0.200001;1.5708;0;1.5708;0.739951
0.399994;0;0.200001;1.5708;0;1.5708;2.50577
0.399994;0;0.200001;1.5708;0;1.5708;2.8976
0.399994;0;0.200001;1.5708;0;1.5708;2.36684
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;7.75967
0.399994;0;0.200001;1.5708;0;1.5708;0.739951
0.399994;0;0.200001;1.5708;0;1.5708;2.50577
0.399994;0;0.200001;1.5708;0;1.5708;2.8976
0.399994;0;0.200001;1.5708;0;1.5708;2.36684
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
0.399994;0;0.200001;1.5708;0;1.5708;7.75967
0.399994;0;0.200001;1.5708;0;1.5708;0.739951
0.399994;0;0.200001;1.5708;0;1.5708;2.50577
0.399994;0;0.200001;1.5708;0;1.5708;2.8976
0.399994;0;0.200001;1.5708;0;1.5708;2.36684
0.399994;0;0.200001;1.5708;0;1.5708;10.5689
